                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5107,                 2.6361,                 1.7735,                  0.405,                0.58776,                0.52377,                0.28763,                 1.8867,                 3.0482,                  2.117,               0.067541,             0.00032787,             0.00032787
                      2,                 1.5054,                 1.9481,                 1.7249,                0.28737,                0.38498,                 0.3735,                0.16938,                 1.8879,                  3.583,                 2.3517,               0.034508,             0.00062847,             0.00062847
                      3,                 1.5141,                 1.8688,                 1.7735,                0.35974,                 0.4659,                0.40587,                0.18216,                 1.9977,                 3.6405,                 2.3946,              0.0014425,             0.00089608,             0.00089608
                      4,                 1.5185,                 1.7812,                 1.7553,                0.55533,                 0.4044,                0.49374,                0.31572,                 1.8928,                 2.3244,                 2.1916,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4445,                 1.6265,                 1.7011,                0.75928,                0.54302,                0.62596,                0.42995,                 1.7294,                 1.9246,                 2.0454,               0.000802,               0.000802,               0.000802
                      6,                 1.4097,                 1.5699,                 1.6864,                0.63336,                0.63715,                0.72533,                0.48408,                 1.6793,                 1.6472,                 1.8954,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.4068,                 1.5148,                 1.6716,                0.75682,                0.66707,                0.72233,                0.47651,                 1.6539,                 1.5268,                 1.8955,               0.000703,               0.000703,               0.000703
                      8,                 1.3904,                 1.4892,                 1.6702,                0.72552,                0.73354,                0.77874,                0.50951,                 1.6177,                 1.4258,                 1.8745,              0.0006535,              0.0006535,              0.0006535
                      9,                  1.332,                 1.4244,                  1.637,                0.71378,                0.79792,                 0.7894,                0.53469,                 1.6079,                  1.372,                 1.8589,               0.000604,               0.000604,               0.000604
                     10,                 1.3322,                 1.3687,                 1.6115,                0.68022,                0.78685,                  0.814,                0.55142,                 1.6696,                 1.3607,                 1.9286,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.4553,                  1.429,                 1.7729,                0.78145,                0.68553,                0.77037,                0.51144,                 1.6542,                 1.5283,                 1.8932,               0.000505,               0.000505,               0.000505
                     12,                 1.4209,                 1.3554,                 1.7321,                0.75384,                0.76138,                 0.8145,                0.56123,                 1.6164,                 1.3251,                 1.8298,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.3934,                 1.3115,                 1.7236,                0.79757,                   0.78,                0.82377,                0.56641,                 1.5958,                 1.2454,                 1.8188,               0.000406,               0.000406,               0.000406
                     14,                 1.3902,                 1.2966,                 1.7401,                0.70405,                0.77397,                0.79194,                0.56131,                 1.5471,                  1.271,                 1.8037,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.3608,                 1.2087,                 1.7049,                0.76419,                0.75979,                0.81958,                0.56013,                 1.6089,                 1.2424,                 1.8469,               0.000307,               0.000307,               0.000307
                     16,                 1.3406,                 1.1435,                 1.6621,                0.79254,                0.81668,                0.84572,                0.58697,                 1.5153,                  1.169,                  1.742,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.3165,                 1.1104,                 1.6434,                0.74627,                0.80975,                0.82433,                0.58859,                 1.5387,                 1.1548,                 1.7777,               0.000208,               0.000208,               0.000208
                     18,                 1.2667,                 1.0801,                 1.6219,                0.79395,                0.81858,                0.83754,                 0.5984,                 1.5598,                 1.1524,                 1.7897,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2539,                 1.0353,                 1.6114,                0.76061,                 0.8282,                0.83555,                 0.6122,                 1.5108,                 1.1222,                 1.7559,               0.000109,               0.000109,               0.000109
                     20,                 1.2473,                 1.0258,                 1.6172,                0.76632,                0.82756,                0.84095,                0.61137,                 1.4969,                 1.1102,                 1.7611,               5.95e-05,               5.95e-05,               5.95e-05
